name,handedness,height,weight,avg,HR,Count,heightGroup
Tom Brown,R,73,170,0,0,1,72-73
Denny Lemaster,R,73,182,0.13,4,1,72-73
Joe Nolan,L,71,175,0.263,27,1,70-71
Denny Doyle,L,69,175,0.25,16,1,68-69
Jose Cardenal,R,70,150,0.275,138,1,70-71
Mike Ryan,R,74,205,0.193,28,1,74-75
Fritz Peterson,B,72,185,0.159,2,1,72-73
Dick Bertell,R,72,200,0.25,10,1,72-73
Rod Kanehl,R,73,180,0.241,6,1,72-73
Ozzie Osborn,R,74,195,0,0,1,74-75
John LaRose,L,73,185,0,0,1,72-73
Jeff Byrd,R,75,195,0,0,1,74-75
Juan Bonilla,R,69,170,0.256,7,1,68-69
Frank Tepedino,L,71,185,0.241,6,1,70-71
Jerry Kutzler,L,73,175,0,0,1,72-73
Rick Wise,R,73,180,0.195,15,1,72-73
Darrell Evans,L,74,200,0.248,414,1,74-75
Buck Martinez,R,70,190,0.225,58,1,70-71
John Wockenfuss,R,72,190,0.262,86,1,72-73
Tommy McCraw,L,72,183,0.246,75,1,72-73
Jeff Barkley,B,75,185,0,0,1,74-75
Eric Wilkins,R,73,190,0,0,1,72-73
Britt Burns,L,77,215,0,0,1,76-77
Lee Lacy,R,73,175,0.286,91,1,72-73
Pete Rose,B,71,192,0.303,160,1,70-71
Danny Walton,R,72,195,0.223,28,1,72-73
Bobby Cox,R,71,180,0.225,9,1,70-71
Brad Wellman,R,72,170,0.231,6,1,72-73
Jeff Newman,R,74,215,0.224,63,1,74-75
Pedro Gonzalez,R,72,176,0.244,8,1,72-73
Nardi Contreras,B,74,193,0,0,1,74-75
Tommie Reynolds,R,74,190,0.226,12,1,74-75
Gene Clines,R,69,170,0.277,5,1,68-69
Jim Hickman,R,75,192,0.252,159,1,74-75
Jack Billingham,R,76,195,0.111,0,1,76-77
Jerry Buchek,R,71,185,0.22,22,1,70-71
Ivan DeJesus,R,71,175,0.254,21,1,70-71
Gary Nolan,R,74,197,0.138,1,1,74-75
Gil Patterson,R,73,185,0,0,1,72-73
Fred Whitfield,L,73,190,0.253,108,1,72-73
Larry Dierker,R,76,215,0.136,4,1,76-77
Dave Skaggs,R,74,200,0.241,3,1,74-75
Dick Ruthven,R,75,190,0.183,1,1,74-75
Jerry Garvin,L,75,195,0,0,1,74-75
Steve Eddy,R,74,185,0,0,1,74-75
Dave Kingman,R,78,210,0.236,442,1,78-79
Eric Soderholm,R,71,187,0.264,102,1,70-71
Kevin Mmahat,L,77,220,0,0,1,76-77
Ed Brinkman,R,72,170,0.224,60,1,72-73
Wayne Garrett,L,71,175,0.239,61,1,70-71
Tony Muser,L,74,180,0.259,7,1,74-75
Jim Siwy,R,76,200,0,0,1,76-77
Bud Anderson,R,75,210,0,0,1,74-75
Ted Ford,R,70,180,0.219,17,1,70-71
Kevin Stanfield,L,72,190,0,0,1,72-73
Jim Lyttle,L,72,180,0.248,9,1,72-73
John Butcher,R,76,185,0,0,1,76-77
Jerry Ujdur,R,73,195,0,0,1,72-73
Scot Thompson,L,75,195,0.262,5,1,74-75
Gene Locklear,L,70,165,0.274,9,1,70-71
Bo Diaz,R,71,185,0.255,87,1,70-71
Bump Wills,B,69,172,0.266,36,1,68-69
Brian Denman,R,76,205,0,0,1,76-77
Pat Putnam,L,72,205,0.255,63,1,72-73
Kurt Bevacqua,R,72,180,0.236,27,1,72-73
Bob Fallon,L,75,200,0,0,1,74-75
Syd O'Brien,R,73,185,0.23,24,1,72-73
Chris Chambliss,L,73,195,0.279,185,1,72-73
Tom Satriano,L,73,185,0.225,21,1,72-73
Jeffrey Leonard,R,74,200,0.266,144,1,74-75
Dal Maxvill,R,71,157,0.217,6,1,70-71
Steve Curry,R,78,217,0,0,1,78-79
Cesar Tovar,R,69,155,0.278,46,1,68-69
Mickey Lolich,B,73,170,0.11,0,1,72-73
Ray Chadwick,B,74,180,0,0,1,74-75
Jack Heidemann,R,72,175,0.211,9,1,72-73
Rich Rollins,R,70,185,0.269,77,1,70-71
Walt Bond,L,79,228,0.256,41,1,78-79
Merv Rettenmund,R,70,190,0.271,66,1,70-71
Bryan Clutterbuck,R,76,223,0,0,1,76-77
Byron Browne,R,74,190,0.236,30,1,74-75
Hector Torres,R,72,175,0.216,18,1,72-73
Walt Williams,R,66,165,0.27,33,1,66-67
Jerry Koosman,R,74,205,0.119,2,1,74-75
Steve Lombardozzi,R,72,175,0.233,20,1,72-73
Joe Azcue,R,72,190,0.252,50,1,72-73
Elliott Maddox,R,71,180,0.261,18,1,70-71
Omar Moreno,L,74,180,0.252,37,1,74-75
Julian Javier,R,73,175,0.257,78,1,72-73
Tony Ferreira,L,73,160,0,0,1,72-73
Elio Chacon,R,69,160,0.232,4,1,68-69
Rusty Torres,B,70,175,0.212,35,1,70-71
John Stearns,R,72,185,0.26,46,1,72-73
Larry Brown,R,70,160,0.233,47,1,70-71
Tommy Dean,R,72,165,0.18,4,1,72-73
Bryan Oelkers,L,75,192,0,0,1,74-75
Kevin Bearse,L,74,195,0,0,1,74-75
Marty Martinez,B,72,170,0.243,0,1,72-73
Bruce Boisclair,L,74,185,0.263,10,1,74-75
Ken Singleton,B,76,210,0.282,246,1,76-77
Frank White,R,71,165,0.255,160,1,70-71
Jim Fairey,L,70,190,0.235,7,1,70-71
Jose Roman,R,72,175,0,0,1,72-73
Tom Brookens,R,70,165,0.246,71,1,70-71
Gary Thomasson,L,73,180,0.249,61,1,72-73
Mike Trujillo,R,73,180,0,0,1,72-73
Albert Williams,R,76,190,0,0,1,76-77
Oswaldo Peraza,R,76,172,0,0,1,76-77
Otto Velez,R,72,170,0.251,78,1,72-73
Tony Scott,B,72,164,0.249,17,1,72-73
Ray Oyler,R,71,165,0.175,15,1,70-71
Barry Cort,R,77,210,0,0,1,76-77
Floyd Robinson,L,69,175,0.283,67,1,68-69
Steve Jeltz,B,71,180,0.21,5,1,70-71
Lou Brock,L,71,170,0.293,149,1,70-71
Bill Wilkinson,R,70,160,0,0,1,70-71
Joe Lovitto,B,72,185,0.216,4,1,72-73
Mike Loynd,R,76,210,0,0,1,76-77
Wayne Comer,R,70,175,0.229,16,1,70-71
Dave Collins,B,71,175,0.272,32,1,70-71
Ed Spiezio,R,71,180,0.238,39,1,70-71
Rico Petrocelli,R,72,175,0.251,210,1,72-73
Johnny Lewis,L,73,189,0.227,22,1,72-73
Dick Simpson,R,76,176,0.207,15,1,76-77
Ken Boswell,L,72,170,0.248,31,1,72-73
Ken McMullen,R,75,190,0.248,156,1,74-75
Randy Scarbery,B,73,185,0,0,1,72-73
Steve Swisher,R,74,205,0.216,20,1,74-75
Ben Callahan,R,79,230,0,0,1,78-79
Dick Howser,R,68,155,0.248,16,1,68-69
Manny Castillo,B,69,160,0.242,3,1,68-69
Mike Ramsey,B,73,170,0.24,2,1,72-73
Willie Crawford,L,73,197,0.268,86,1,72-73
Bobby Cuellar,R,71,188,0,0,1,70-71
Willie Norwood,R,72,185,0.242,18,1,72-73
Mike Jones,L,78,215,0,0,1,78-79
Jeff Stone,L,72,175,0.277,11,1,72-73
Ramon Manon,R,72,150,0,0,1,72-73
Joe Lahoud,L,73,198,0.223,65,1,72-73
Tim Flannery,L,71,175,0.255,9,1,70-71
Dave McKay,B,73,195,0.229,21,1,72-73
John Trautwein,R,75,205,0,0,1,74-75
Andy Replogle,R,77,205,0,0,1,76-77
Zach Crouch,L,75,180,0,0,1,74-75
Benny Ayala,R,73,185,0.251,38,1,72-73
Ron Romanick,R,76,195,0,0,1,76-77
Greg Gross,L,70,160,0.287,7,1,70-71
Bruce Tanner,L,75,220,0,0,1,74-75
Sal Butera,R,72,190,0.227,8,1,72-73
Jack Brohamer,L,70,165,0.245,30,1,70-71
Von Joshua,L,70,170,0.273,30,1,70-71
Eddie Milner,L,71,173,0.253,42,1,70-71
Johnny Jeter,R,73,180,0.244,18,1,72-73
Angel Salazar,R,72,180,0.212,2,1,72-73
Tony Oliva,L,73,175,0.304,220,1,72-73
Cito Gaston,R,75,190,0.256,91,1,74-75
Cookie Rojas,R,70,160,0.263,54,1,70-71
Rich Morales,R,71,170,0.195,6,1,70-71
Dave Ford,R,76,190,0,0,1,76-77
Dan Ford,R,73,185,0.27,121,1,72-73
Barry Raziano,B,70,175,0,0,1,70-71
Darryl Motley,R,69,196,0.243,44,1,68-69
Ozzie Virgil,R,73,180,0.243,98,1,72-73
Johnny Oates,L,71,188,0.25,14,1,70-71
Pat Underwood,L,72,175,0,0,1,72-73
Mike Phillips,L,72,170,0.24,11,1,72-73
Ron Santo,R,72,190,0.277,342,1,72-73
Jay Johnstone,L,73,175,0.267,102,1,72-73
Jim Ray Hart,R,71,185,0.278,170,1,70-71
Marc Hill,R,75,205,0.223,34,1,74-75
Joel McKeon,L,72,185,0,0,1,72-73
Danny Fife,R,75,175,0,0,1,74-75
Chico Salmon,R,70,160,0.249,31,1,70-71
Joe Niekro,R,73,185,0.156,1,1,72-73
Andy Etchebarren,R,73,190,0.235,49,1,72-73
Ken Berry,R,72,175,0.255,58,1,72-73
Dave Concepcion,R,74,155,0.267,101,1,74-75
Junior Moore,R,71,185,0.264,7,1,70-71
Mike Richardt,R,72,170,0.226,4,1,72-73
Chris Brown,R,72,185,0.269,38,1,72-73
Al Bumbry,L,68,170,0.281,54,1,68-69
Al Downing,R,71,175,0.127,2,1,70-71
Bob Didier,B,72,190,0.229,0,1,72-73
Jake Gibbs,L,72,180,0.233,25,1,72-73
Garry Hancock,L,72,175,0.247,12,1,72-73
Ed Kranepool,L,75,205,0.261,118,1,74-75
Rick Rhoden,R,75,195,0.238,9,1,74-75
Denny McLain,R,73,185,0.133,1,1,72-73
Chuck Hiller,L,71,170,0.243,20,1,70-71
Jorge Orta,L,70,170,0.278,130,1,70-71
Dave Cash,R,71,170,0.283,21,1,70-71
Bucky Dent,R,69,170,0.247,40,1,68-69
Andy Beene,R,75,205,0,0,1,74-75
Bruce Robbins,L,73,190,0,0,1,72-73
Tony Gonzalez,L,69,170,0.286,103,1,68-69
Leon Hooten,R,71,180,0,0,1,70-71
Larry Haney,R,74,195,0.215,12,1,74-75
Billy Conigliaro,R,72,180,0.256,40,1,72-73
Gary Roenicke,R,75,205,0.247,121,1,74-75
Don Lock,R,74,195,0.238,122,1,74-75
Billy Cowan,R,72,170,0.236,40,1,72-73
Billy Smith,B,74,185,0.23,17,1,74-75
Allan Ramirez,R,70,180,0,0,1,70-71
Tony Perez,R,74,175,0.279,379,1,74-75
Chuck Schilling,R,70,160,0.239,23,1,70-71
Hal McRae,R,71,180,0.29,191,1,70-71
Dave Roberts,R,75,215,0.239,49,1,74-75
Brian Allard,R,73,175,0,0,1,72-73
Jim Lefebvre,B,72,180,0.251,74,1,72-73
Fernando Arroyo,R,74,180,0,0,1,74-75
Gary Beare,R,76,205,0,0,1,76-77
Charlie Spikes,R,75,215,0.246,65,1,74-75
Brian Dubois,L,70,165,0,0,1,70-71
Steve Whitaker,L,72,180,0.23,24,1,72-73
Manny Jimenez,L,73,185,0.272,26,1,72-73
Chris Batton,R,76,195,0,0,1,76-77
Duffy Dyer,R,72,187,0.221,30,1,72-73
Ken Henderson,B,74,180,0.257,122,1,74-75
Vance Lovelace,L,77,205,0,0,1,76-77
Greg Thayer,R,71,182,0,0,1,70-71
Vern Fuller,R,73,170,0.232,14,1,72-73
Paul Hartzell,R,77,200,0,0,1,76-77
Wayne Gross,L,74,210,0.233,121,1,74-75
Mike Champion,R,72,185,0.229,2,1,72-73
Ralph Botting,L,72,195,0,0,1,72-73
Paul Casanova,R,76,180,0.225,50,1,76-77
Steve Rogers,R,74,175,0.138,0,1,74-75
Keith Creel,R,74,180,0,0,1,74-75
Terry Crowley,L,72,180,0.25,42,1,72-73
Horace Clarke,B,69,170,0.256,27,1,68-69
Lou Clinton,R,73,185,0.247,65,1,72-73
Larry Cox,R,70,178,0.221,12,1,70-71
Nate Colbert,R,74,190,0.243,173,1,74-75
Phil Roof,R,74,190,0.215,43,1,74-75
Chuck Hinton,R,73,180,0.264,113,1,72-73
Tim Cullen,R,73,185,0.22,9,1,72-73
Tim Harkness,L,74,182,0.235,14,1,74-75
Rick Bosetti,R,71,185,0.25,17,1,70-71
Ron Pruitt,R,72,185,0.269,12,1,72-73
George Foster,R,73,180,0.274,348,1,72-73
Jerry White,B,70,164,0.253,21,1,70-71
Angel Mangual,R,70,178,0.245,22,1,70-71
Ken Gerhart,R,72,190,0.221,24,1,72-73
Mike Hershberger,R,70,175,0.252,26,1,70-71
Jim French,L,68,180,0.196,5,1,68-69
Dave Roberts,L,75,195,0.194,7,1,74-75
Jim Mason,L,74,185,0.203,12,1,74-75
Mike Smith,R,75,180,0,0,1,74-75
Willie Smith,L,72,182,0.248,46,1,72-73
T.R. Bryden,R,76,190,0,0,1,76-77
Jose Arcia,R,75,170,0.215,1,1,74-75
Leon Durham,L,73,185,0.277,147,1,72-73
Tom Makowski,R,71,185,0,0,1,70-71
Paul Householder,B,72,180,0.236,29,1,72-73
Aurelio Rodriguez,R,70,180,0.237,124,1,70-71
Jimmy Stewart,B,72,165,0.237,8,1,72-73
Dick Phillips,L,72,180,0.229,12,1,72-73
Andres Thomas,R,73,170,0.234,42,1,72-73
Ed Crosby,L,74,175,0.22,0,1,74-75
Mike de la Hoz,R,71,175,0.251,25,1,70-71
Frank Taveras,R,72,155,0.255,2,1,72-73
Joe Nossek,R,72,178,0.228,3,1,72-73
Larry Stahl,L,72,175,0.232,36,1,72-73
Jose Cruz,L,72,170,0.284,165,1,72-73
Don Mason,L,71,160,0.205,3,1,70-71
Bill Robinson,R,74,189,0.258,166,1,74-75
Jim Umbarger,L,78,200,0,0,1,78-79
Sal Bando,R,72,195,0.254,242,1,72-73
George Mitterwald,R,74,195,0.236,76,1,74-75
Mike Darr,R,76,190,0,0,1,76-77
Craig Robinson,R,70,165,0.219,0,1,70-71
Bob Tillman,R,76,205,0.232,79,1,76-77
Curt Wardle,L,77,220,0,0,1,76-77
Pat Corrales,R,72,180,0.216,4,1,72-73
Mike Tyson,R,69,170,0.241,27,1,68-69
Rafael Landestoy,B,70,165,0.237,4,1,70-71
Duane Josephson,R,72,190,0.258,23,1,72-73
Duane Walker,L,72,185,0.229,24,1,72-73
Glenn Hubbard,R,69,150,0.244,70,1,68-69
Roger Freed,R,72,190,0.245,22,1,72-73
George Hendrick,R,75,195,0.278,267,1,74-75
Rod Carew,L,72,170,0.328,92,1,72-73
Bob Davis,R,72,180,0.197,6,1,72-73
Toby Harrah,R,72,175,0.264,195,1,72-73
Rick Manning,L,73,180,0.257,56,1,72-73
Israel Sanchez,L,69,170,0,0,1,68-69
Steve Burke,B,74,200,0,0,1,74-75
Gary Matthews,R,74,185,0.281,234,1,74-75
Cesar Geronimo,L,72,165,0.258,51,1,72-73
Billy Bryan,L,76,200,0.216,41,1,76-77
Terry Taylor,R,73,180,0,0,1,72-73
Terry Whitfield,L,73,197,0.281,33,1,72-73
Mario Mendoza,R,71,170,0.215,4,1,70-71
Fred Lynn,L,73,185,0.283,306,1,72-73
Larry Hisle,R,74,193,0.273,166,1,74-75
Graig Nettles,L,72,180,0.248,390,1,72-73
Randy Nosek,R,76,215,0,0,1,76-77
Dave Engle,R,75,210,0.262,31,1,74-75
Narciso Elvira,L,70,160,0,0,1,70-71
Mike Easler,L,72,190,0.293,118,1,72-73
Mark Smith,R,74,215,0,0,1,74-75
Paul Mitchell,R,73,195,0,0,1,72-73
Rick Sweet,B,73,200,0.234,6,1,72-73
Thurman Munson,R,71,190,0.292,113,1,70-71
Rick Monday,L,75,193,0.264,241,1,74-75
Mike Sadek,R,69,165,0.226,5,1,68-69
Mark Belanger,R,73,170,0.228,20,1,72-73
Ron Hunt,R,72,186,0.273,39,1,72-73
Joe Keough,L,72,185,0.246,9,1,72-73
Butch Edge,R,75,203,0,0,1,74-75
Vic Correll,R,70,185,0.229,29,1,70-71
Jackie Hernandez,R,71,165,0.208,12,1,70-71
Tony Solaita,L,72,210,0.255,50,1,72-73
U L Washington,B,71,175,0.251,27,1,70-71
Gary Mielke,R,75,185,0,0,1,74-75
Rick Henninger,R,78,225,0,0,1,78-79
Joe Foy,R,72,215,0.248,58,1,72-73
Ed Goodson,L,75,180,0.26,30,1,74-75
Mark Brown,B,74,190,0,0,1,74-75
Mickey Klutts,R,71,170,0.241,14,1,70-71
Leroy Stanton,R,73,195,0.244,77,1,72-73
Rafael Vasquez,R,72,160,0,0,1,72-73
Len Whitehouse,L,71,175,0,0,1,70-71
Danny Ainge,R,76,175,0.22,2,1,76-77
Adolfo Phillips,R,73,175,0.247,59,1,72-73
Marv Breeding,R,72,175,0.25,7,1,72-73
Steve Adkins,R,78,210,0,0,1,78-79
Dick McAuliffe,L,71,176,0.247,197,1,70-71
Joe Horlen,R,72,170,0.134,0,1,72-73
Glenn Burke,R,72,195,0.237,2,1,72-73
Tony Mack,R,70,177,0,0,1,70-71
Terry Humphrey,R,75,185,0.211,6,1,74-75
Bill Moran,R,76,210,0,0,1,76-77
Enzo Hernandez,R,68,155,0.224,2,1,68-69
Cesar Gutierrez,R,69,155,0.235,0,1,68-69
Coco Laboy,R,70,165,0.233,28,1,70-71
Ted Kubiak,B,72,175,0.231,13,1,72-73
Jim Morrison,R,71,175,0.26,112,1,70-71
Tom Gilles,R,73,185,0,0,1,72-73
Bobby Knoop,R,73,170,0.236,56,1,72-73
Bobby Brown,B,74,190,0.245,26,1,74-75
Tom Hutton,L,71,180,0.248,22,1,70-71
Ron Hodges,L,73,185,0.24,19,1,72-73
Rich Chiles,L,71,170,0.254,6,1,70-71
Tom Paciorek,R,76,215,0.282,86,1,76-77
Gary Woods,R,74,185,0.243,13,1,74-75
Bob Montgomery,R,73,195,0.258,23,1,72-73
Jeff Burroughs,R,73,200,0.261,240,1,72-73
Rusty Staub,L,74,190,0.279,292,1,74-75
Jim Norris,L,70,175,0.264,7,1,70-71
Oscar Gamble,L,71,160,0.265,200,1,70-71
Bob Kammeyer,R,76,210,0,0,1,76-77
George Vukovich,L,72,198,0.268,27,1,72-73
Joe Pactwa,L,71,185,0,0,1,70-71
Craig Reynolds,L,73,175,0.256,42,1,72-73
Paul Blair,R,72,168,0.25,134,1,72-73
Al Cowens,R,73,197,0.27,108,1,72-73
Al Oliver,L,72,195,0.303,219,1,72-73
Dave Hilton,R,71,191,0.213,6,1,70-71
Luis Alvarado,R,69,162,0.214,5,1,68-69
Larry Parrish,R,75,190,0.263,256,1,74-75
Woodie Fryman,R,75,197,0.138,2,1,74-75
Bob Randall,R,74,175,0.257,1,1,74-75
Jim Pankovits,R,70,170,0.25,9,1,70-71
Sherman Corbett,L,76,205,0,0,1,76-77
Carmen Fanzone,R,72,200,0.224,20,1,72-73
Gary Allenson,R,71,185,0.221,19,1,70-71
Milt May,L,72,190,0.263,77,1,72-73
Mike Vail,R,73,180,0.279,34,1,72-73
Nick Esasky,R,75,200,0.25,122,1,74-75
Jim Nettles,L,72,186,0.22,16,1,72-73
Lafayette Currence,B,71,175,0,0,1,70-71
Chris Cannizzaro,R,72,190,0.235,18,1,72-73
Larry Biittner,L,74,205,0.273,29,1,74-75
John Pawlowski,R,74,175,0,0,1,74-75
Mel Stottlemyre,R,73,178,0.16,7,1,72-73
Jack Hardy,R,74,175,0,0,1,74-75
Ron Musselman,R,74,185,0,0,1,74-75
Roy Smalley,B,73,185,0.257,163,1,72-73
Tony Chevez,R,71,177,0,0,1,70-71
Andy Messersmith,R,73,200,0.17,5,1,72-73
Richie Zisk,R,73,200,0.287,207,1,72-73
Dave Chalk,R,70,175,0.252,15,1,70-71
Don Baylor,R,73,190,0.26,338,1,72-73
